"f_Enterobacteriaceae";"f_Akkermansiaceae";"f_Oscillospiraceae";"f_Lachnospiraceae";"o_Eubacteriales";"f_Rikenellaceae";"f_Veillonellaceae";"f_Bacteroidaceae";"f_Streptococcaceae";"f_Peptostreptococcaceae";"f_Porphyromonadaceae";"f_Coprobacillaceae";"f_Bifidobacteriaceae";"f_Coriobacteriaceae";"f_Erysipelotrichaceae";"p_Bacillota";"f_Clostridiaceae_1";"f_Prevotellaceae";"f_Acidaminococcaceae";"f_Enterococcaceae";"f_Christensenellaceae";"k_Bacteria";"f_Eggerthellaceae";"c_Clostridia";"f_Odoribacteraceae";"f_Lactobacillaceae";"f_Leuconostocaceae";"f_Fusobacteriaceae";"f_Pasteurellaceae";"f_Muribaculaceae";"f_Desulfovibrionaceae";"f_Barnesiellaceae";"f_Eubacteriales_incertae_sedis";"f_Streptophyta";"o_Bacteroidales";"p_Bacteroidota";"p_Candidatus_Saccharibacteria";"f_Turicibacteraceae";"f_Selenomonadaceae";"f_Sutterellaceae";"o_Negativibacillus";"c_Coriobacteriia";"f_Eubacteriales_incertae_sedis_XIII";"f_Succinivibrionaceae";"c_Alphaproteobacteria";"f_Micrococcaceae";"f_Carnobacteriaceae";"f_Peptococcaceae";"f_Pseudomonadaceae";"f_Bacillales_Incertae_Sedis_XI";"f_Atopobiaceae";"f_Sphingomonadaceae";"f_Poaceae";"f_Erythrobacteraceae";"c_Mollicutes";"f_Peptoniphilaceae";"f_Helicobacteraceae";"f_Synergistaceae";"f_Actinomycetaceae";"f_Eubacteriaceae";"f_Chitinophagaceae";"f_Victivallaceae";"f_Chlamydiaceae";"f_Oxalobacteraceae";"f_Propionibacteriaceae";"f_Staphylococcaceae";"o_Rhodospirillales";"f_Elusimicrobiaceae";"p_Pseudomonadota";"f_Aerococcaceae";"f_Corynebacteriaceae";"f_Methylobacteriaceae";"f_Treponemataceae";"o_Enterobacterales";"f_Brucellaceae";"f_Xanthomonadaceae";"f_Anaeroplasmataceae";"f_Puniceicoccaceae";"f_Cardiobacteriaceae";"f_Campylobacteraceae";"o_Spirochaetales";"o_Erysipelotrichales";"f_Caryophanaceae";"f_Hafniaceae";"f_Deferribacteraceae";"c_Planctomycetia";"f_Morganellaceae";"f_Yersiniaceae";"f_Comamonadaceae";"f_Fibrobacteraceae";"f_Burkholderiaceae";"f_Promicromonosporaceae";"f_Arcobacteraceae";"c_Negativicutes";"f_Aeromonadaceae";"o_Lactobacillales";"c_Actinobacteria";"Bacteria";"f_Syntrophomonadaceae";"o_Burkholderiales";"f_Lawsonellaceae";"f_Microbacteriaceae";"f_Moraxellaceae";"c_Opitutia";"f_Neisseriaceae";"NA.";"f_Bacillariophyta";"f_Brachyspiraceae";"f_Leptotrichiaceae";"c_Bacilli";"f_Weeksellaceae";"f_Bacillaceae";"f_Legionellaceae";"f_Methanobacteriaceae";"c_Betaproteobacteria"
273;14545;7270;11550;259;21;0;106;597;57;29;3441;71;104;256;44;225;131;8;221;6;283;129;0;0;33;5;0;51;6;25;0;93;0;37;38;28;30;0;0;7;207;0;0;0;0;27;0;0;5;213;15;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8661;26;8368;2752;87;61;184;405;7112;281;69;1018;59;148;596;19;2732;635;7;0;7;13;27;0;15;102;50;137;782;26;83;67;81;0;200;47;194;286;0;7;0;7;0;0;0;20;28;0;0;130;22;21;0;0;0;52;32;0;0;0;0;0;7;0;6;0;0;0;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
4035;633;5142;2283;1224;3098;719;5860;4;0;1033;32;7;0;70;1774;27;1044;696;0;1131;559;78;295;584;0;0;0;0;2819;253;176;0;0;5;583;0;0;0;183;12;0;64;0;0;0;0;0;0;0;0;0;0;0;9;0;0;22;0;0;0;12;0;35;0;0;0;0;0;0;0;4;0;3;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;1205;7809;3170;155;338;11913;2065;75;550;134;31;497;53;901;792;608;2117;34;0;12;147;27;0;13;230;0;0;24;85;55;87;37;11;522;236;357;40;0;138;0;30;2;0;0;0;0;0;0;0;0;9;0;0;0;0;39;3;0;0;0;0;14;0;17;6;5;0;0;0;0;0;18;0;0;0;10;0;0;0;9;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;29;10438;6539;578;3106;26;5482;23;73;608;496;89;0;22;87;31;832;382;0;124;537;53;119;369;0;0;0;0;2740;105;481;20;0;755;3112;0;63;0;54;32;0;26;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;37;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15919;187;3046;2057;4394;23;108;142;7329;1242;32;170;110;207;495;0;4937;780;56;0;133;184;36;164;0;17;0;0;9;3;0;22;80;0;0;2;167;383;65;23;0;0;10;0;0;141;98;0;0;257;82;0;0;0;0;0;0;0;73;0;6;5;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1616;6571;1384;11072;13;25;1163;3187;7026;795;189;442;372;0;2607;0;306;221;16;320;0;14;468;0;7;271;132;0;3154;0;0;9;85;495;0;3;7;35;0;18;0;0;0;0;0;150;70;0;0;32;0;11;667;0;0;0;0;0;52;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
2425;129;4753;4904;252;447;134;2009;1609;934;155;6128;276;53;1156;334;312;2085;62;24;32;204;129;13;30;569;0;0;7;306;66;0;86;0;1251;535;928;357;86;8;0;31;16;0;0;15;36;0;0;0;0;31;0;0;0;0;116;0;36;0;7;0;37;0;47;0;0;10;13;0;0;0;57;0;0;0;17;0;0;0;22;24;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3325;973;15804;4996;923;2482;253;1616;12;30;4;61;2356;0;42;109;8;0;1528;6;135;385;136;181;1394;427;0;0;0;118;54;464;0;0;83;44;0;0;0;169;47;38;25;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6416;1621;8930;8700;491;126;575;181;7283;369;64;19;885;978;1920;832;191;171;287;0;491;306;91;95;5;123;14;0;0;485;65;14;121;30;7;4;107;3;4;0;0;14;33;0;0;238;73;0;0;69;94;11;0;0;0;0;5;12;72;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
