g_Escherichia-Shigella;g_Akkermansia;f_[Eubacterium] coprostanoligenes group;g_Gemmiger;g_UCG-002;g_Agathobacter;g_Faecalibacterium;o_Clostridia UCG-014;g_Blautia;g_Alistipes;g_Dialister;g_Bacteroides;g_CAG-352;g_Streptococcus;g_Romboutsia;g_Parabacteroides;g_Dorea;g_Catenibacterium;g_Bifidobacterium;g_Collinsella;g_Erysipelotrichaceae UCG-003;f_Ruminococcaceae;g_Anaerobutyricum;g_Lachnospiraceae NK4A136 group;g_Fusicatenibacter;g_Anaerostipes;g_Christensenellaceae R-7 group;g_Monoglobus;g_Coprococcus;g_Clostridium;g_Ruminococcus;g_Mediterraneibacter;g_Intestinibacter;g_Segatella;g_Holdemanella;g_Roseburia;g_Phascolarctobacterium;g_[Eubacterium] ruminantium group;g_Enterococcus;g_[Eubacterium] eligens group;g_NK4A214 group;g_UCG-005;f_Eggerthellaceae;g_[Eubacterium] siraeum group;g_[Ruminococcus] gnavus group;g_Odoribacter;g_Slackia;g_Lachnospira;f_Lachnospiraceae;g_[Ruminococcus] gauvreauii group;g_UCG-003;f_Christensenellaceae;f_Prevotellaceae;g_Enterobacter;g_Ligilactobacillus;g_Weissella;g_[Eubacterium] xylanophilum group;g_Fusobacterium;g_Ruthenibacterium;f_Erysipelotrichaceae;g_Haemophilus;g_Klebsiella;g_Paraprevotella;g_Solobacterium;f_Muribaculaceae;g_Terrisporobacter;g_Enterocloster;g_Acutalibacter;g_Lachnospiraceae UCG-010;g_Lactococcus;g_Limosilactobacillus;g_Desulfovibrio;g_Barnesiella;g_Family XIII AD3011 group;g_Adlercreutzia;g_[Eubacterium] ventriosum group;g_Senegalimassilia;g_CAG-56;g_Veillonella;g_Agathobaculum;g_Lactobacillus;o_RF39;g_Lachnospiraceae ND3007 group;g_Intestinimonas;g_Howardella;g_CAG-873;o_Chloroplast;g_Rikenellaceae RC9 gut group;o_Bacteroidales;g_Tyzzerella;g_Prevotella;g_Lachnospiraceae NK3A20 group;g_Raoultella;g_Catenisphaera;g_Candidatus Saccharimonas;g_Turicibacter;f_Gastranaerophilaceae;g_Megasphaera;g_Bilophila;g_Prevotellaceae UCG-003;g_Megamonas;f_Enterobacteriaceae;g_Sutterella;g_Negativibacillus;f_Tannerellaceae;g_Oscillibacter;g_Faecalimonas;g_Prevotellaceae NK3B31 group;g_HT002;f_Veillonellaceae;g_Zag_111;f_Oscillospiraceae;g_CAG-196;f_Coriobacteriales Incertae Sedis;g_Succinivibrio;g_Parasutterella;f_UCG-010;g_Latilactobacillus;g_Massiliprevotella;g_Thomasclavelia;f_Anaerovoracaceae;o_Rhodospirillales;g_Rothia;g_TM7x;g_Eisenbergiella;o_Izemoplasmatales;o_Lactobacillales;g_Peptococcus;g_Lachnospiraceae UCG-004;g_Pseudomonas;g_Colidextribacter;g_Gemella;g_Butyricimonas;g_Mogibacterium;g_Marvinbryantia;g_Lachnospiraceae UCG-003;g_Erysipelotrichaceae UCG-006;f_Lactobacillaceae;g_Olsenella;g_Coprobacillus;g_Coprobacter;g_Eggerthella;f_Sphingomonadaceae;g_Leyella;g_Mitsuokella;g_Tractidigestivibacter;f_Mitochondria;g_DTU089;g_[Bacteroides] pectinophilus group;g_Lancefieldella;g_Lachnospiraceae FCS020 group;o_Clostridia vadinBB60 group;g_Novosphingobium;g_Flavonifractor;g_Holdemania;g_UCG-009;g_Lacticaseibacillus;g_Family XIII UCG-001;f_Peptococcaceae;g_Anaeroplasma;g_Coriobacteriaceae UCG-003;g_Acidaminococcus;f_p-2534-18B5 gut group;c_Bacteroidia;g_Fenollaria;g_Citrobacter;g_Hungatella;g_Defluviitaleaceae UCG-011;g_[Clostridium] innocuum group;g_Oribacterium;g_Helicobacter;g_Succiniclasticum;c_Clostridia;g_Fournierella;g_Pyramidobacter;g_Lactiplantibacillus;g_Allobaculum;g_Leuconostoc;o_Oscillospirales;g_GCA-900066575;g_Parolsenella;f_Barnesiellaceae;g_Schaalia;g_UC5-1-2E3;g_Extibacter;g_[Eubacterium] brachy group;g_Pseudoprevotella;g_Asaccharobacter;g_Pediococcus;g_Hydrogenoanaerobacterium;g_Hydrotalea;g_Sellimonas;g_Victivallis;g_Chlamydia;g_Oxalobacter;g_Allisonella;g_Gordonibacter;o_DTU014;g_Pygmaiobacter;o_Coriobacteriales;g_Paeniclostridium;f_Fusobacteriaceae;g_Porphyromonas;g_Cutibacterium;o_Burkholderiales;g_Epulopiscium;f_Desulfovibrionaceae;g_Aminicella;g_Staphylococcus;g_Lachnoclostridium;g_Oscillospira;g_Prevotellaceae UCG-001;g_Salmonella;f_vadinBE97;f_Saccharimonadaceae;g_Sphingomonas;g_Elusimicrobium;g_UCG-004;o_Saccharimonadales;f_Selenomonadaceae;g_Christensenella;g_Erysipelotrichaceae UCG-009;g_Abiotrophia;g_Lachnospiraceae NK4B4 group;g_Sarcina;g_Corynebacterium;g_Anaerovibrio;g_Cloacibacillus;g_Methylobacterium;g_Scardovia;g_Treponema;g_Quinella;g_UCG-008;g_Faecalicatena;g_Xylanibacter;f_Bacteroidales RF16 group;g_Parvimonas;g_Frisingicoccus;g_Asteroleplasma;g_Alloscardovia;g_Massiliomicrobiota;g_Hoylesella;g_Ezakiella;g_Shuttleworthia;f_Butyricicoccaceae;g_Candidatus Soleaferrea;g_Butyribacter;g_Brucella;g_U29-B03;f_Atopobiaceae;g_Stenotrophomonas;f_Puniceicoccaceae;p_Bacillota;o_Enterobacterales;g_Cellulosilyticum;g_Anaerotruncus;g_Cardiobacterium;g_Campylobacter;g_Faecalitalea;g_Peptostreptococcus;g_Phocea;g_Ruminiclostridium;g_Gabonibacter;g_Peptoniphilus;c_Alphaproteobacteria;g_Actinomyces;g_Prevotellaceae UCG-004;f_Pasteurellaceae;g_Granulicatella;f_Rikenellaceae;g_Denitrobacterium;g_UCG-007;g_Eubacterium;g_Propionibacterium;g_Lysinibacillus;g_Enteroscipio;g_Hafnia-Obesumbacterium;g_Anaerofilum;g_Faecalicoccus;g_Acetanaerobacterium;g_Mucispirillum;g_Dielma;g_p-1088-a5 gut group;g_Fannyhessea;g_Syntrophococcus;g_Sphingobium;g_Proteus;f_Spirochaetaceae;f_Yersiniaceae;g_CHKCI002;g_dgA-11 gut group;g_Desulfitibacter;f_Micrococcaceae;g_Turicimonas;g_S5-A14a;g_Comamonas;g_Companilactobacillus;f_Victivallaceae;k_Bacteria;g_[Clostridium] methylpentosum group;f_Peptostreptococcaceae;g_Mailhella;g_Fibrobacter;g_Anaerofustis;g_Levilactobacillus;g_Harryflintia;g_Anaeroglobus;o_Peptostreptococcales-Tissierellales;g_Pseudoramibacter;f_Erysipelatoclostridiaceae;g_Negativicoccus;g_Lautropia;g_Cellulosimicrobium;g_GCA-900066755;o_Rickettsiales;g_Pseudoflavonifractor;g_Arcobacter;g_Berryella;g_Atopobium;g_Anaerobiospirillum;g_V9D2013 group;o_Veillonellales-Selenomonadales;g_Cryptobacterium;g_Longibaculum;g_Aeromonas;g_Finegoldia;g_Fructilactobacillus;g_Caproiciproducens;f_Staphylococcaceae;g_Aerococcus;c_Actinobacteria;g_Cetobacterium;c_Bacilli;g_Paludicola;f_Bifidobacteriaceae;g_Criibacterium;g_Phocaeicola;g_Raoultibacter;g_Faecalibaculum;g_Rodentibacter;g_Liquorilactobacillus;NA;c_Gammaproteobacteria;f_Syntrophomonadaceae;f_Sutterellaceae;g_Amedibacillus;g_Rikenella;g_Catenibacillus;g_Mammaliicoccus;g_Lachnoanaerobaculum;g_Dubosiella;f_Actinomycetaceae;g_Lawsonella;f_Microbacteriaceae;g_Enhydrobacter;g_Parascardovia;g_Eikenella;f_Acidaminococcaceae;Eukaryota;g_Acetitomaculum;g_Merdibacter;g_Papillibacter;g_Acinetobacter;g_Facklamia;f_UCG-011;g_Brachyspira;f_Neisseriaceae;g_F0332;g_Phoenicibacter;g_Desulfocucumis;g_[Eubacterium] oxidoreducens group;g_Subdoligranulum;g_Leptotrichia;g_Cloacibacterium;g_Anaerovorax;f_Enterococcaceae;g_Jeotgalicoccus;g_Lachnospiraceae NC2004 group;p_Pseudomonadota;f_Coriobacteriaceae;f_Succinivibrionaceae;o_WCHB1-41;o_Erysipelotrichales;g_Coriobacteriaceae UCG-002;g_Chryseobacterium;g_Hornefia;k_Eukaryota;g_Shouchella;g_Lawsonia;g_Legionella;g_Pseudoleptotrichia;Archaea;p_Actinomycetota;g_Neisseria;g_Fretibacterium;f_Oxalobacteraceae
223;14545;451;3198;91;137;274;112;7168;21;0;106;73;585;57;29;391;3409;71;91;17;2485;1628;30;10;803;240;101;297;79;231;85;0;77;98;162;8;0;10;0;26;27;6;60;0;0;0;14;339;18;0;0;42;0;14;0;0;0;17;23;51;50;0;27;16;0;20;40;3;12;11;0;0;93;0;60;13;0;0;97;8;64;0;40;13;0;0;51;0;0;0;0;0;0;24;30;0;0;25;10;0;0;0;7;0;14;0;0;0;0;0;0;0;207;0;0;7;0;0;12;65;0;0;0;12;0;0;0;0;0;66;5;0;0;0;0;0;0;213;20;0;64;15;10;0;0;0;22;0;0;54;0;49;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;17;0;0;0;0;56;158;16;0;0;0;0;0;92;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;146;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5276;26;3383;1450;105;529;2782;34;418;61;12;405;0;7057;228;69;823;972;59;0;142;347;70;37;67;0;55;94;108;2732;48;192;44;503;340;87;7;0;0;0;0;50;20;0;0;15;0;0;150;14;0;7;132;30;41;50;14;135;15;0;782;3351;0;0;62;0;0;0;13;55;0;9;67;81;7;0;148;103;172;32;45;12;12;17;21;0;0;102;0;0;0;56;0;0;194;286;0;0;65;53;0;0;0;0;0;0;30;0;16;0;0;45;6;7;0;7;0;0;0;46;0;0;20;0;8;0;28;0;0;0;0;130;0;0;0;0;103;0;0;0;0;0;21;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;34;12;0;0;0;0;0;0;32;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;8;0;0;0;0;0;4;0;0;0;0;0;0;10;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4027;630;1052;248;1414;131;934;670;92;3098;575;5860;0;0;0;1022;318;32;7;0;0;398;12;149;32;0;2762;0;151;27;38;0;0;441;70;460;696;0;0;296;324;233;48;692;0;306;0;49;350;12;235;2;0;0;0;0;16;0;0;0;0;0;497;0;21;0;0;0;90;4;0;30;103;64;30;25;0;52;0;47;0;6;0;10;15;2800;0;562;78;0;0;0;0;0;0;0;0;0;183;0;0;0;16;12;11;80;0;0;0;146;0;28;0;0;0;29;252;0;0;0;9;14;0;0;0;34;0;0;0;0;0;0;278;0;0;14;0;0;0;0;73;0;0;28;0;0;0;0;0;0;0;291;0;0;0;9;0;4;0;9;0;0;0;24;0;0;0;0;0;0;0;0;253;7;0;0;0;0;7;19;0;0;0;0;0;0;0;0;0;19;0;0;12;0;35;0;0;28;0;0;0;0;0;0;138;0;40;0;0;0;0;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;9;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;1205;1008;544;374;521;4820;646;156;338;11844;2065;0;75;526;134;120;23;497;0;216;301;33;101;61;42;179;174;641;606;77;37;22;1859;635;156;34;310;0;19;96;279;0;10;0;13;0;0;603;0;18;12;230;0;96;0;31;0;11;7;24;0;0;7;134;0;55;44;0;0;36;4;87;37;0;193;53;33;15;0;72;122;0;0;0;0;11;329;0;17;0;0;0;0;353;40;0;12;35;294;0;0;0;0;0;11;0;0;26;0;6;37;0;11;0;138;14;0;0;8;0;5;0;7;0;0;0;10;0;0;9;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;10;0;0;19;3;0;0;0;0;0;0;9;10;0;0;54;14;0;0;0;8;0;14;39;0;0;0;3;0;14;0;0;8;0;0;0;0;0;0;0;27;0;0;0;0;0;14;0;14;0;0;0;19;0;0;0;17;0;0;16;0;0;0;0;0;0;0;0;0;0;5;0;0;0;24;0;0;0;0;0;0;0;0;27;9;0;0;3;17;0;0;0;0;0;16;0;0;0;0;0;0;10;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;29;2350;553;2119;58;1845;250;744;3106;0;5480;721;23;20;608;178;496;89;0;0;248;121;281;96;53;157;471;755;31;122;20;53;665;4;537;382;19;0;27;691;208;0;26;0;268;37;26;3241;0;758;86;0;0;0;0;51;0;54;0;0;0;93;0;2980;0;172;0;40;0;0;71;307;77;16;19;0;27;0;105;0;422;26;17;0;0;0;3619;0;0;0;0;0;0;0;63;0;0;34;0;0;0;32;32;0;71;0;0;0;0;0;30;15;0;0;22;308;0;0;0;0;136;0;0;0;0;0;0;31;0;0;0;101;0;0;0;18;0;0;0;174;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;29;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;7;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15578;187;622;1436;75;50;231;4329;720;23;108;142;344;7329;1070;32;377;170;110;207;31;23;107;37;32;100;254;28;245;4937;105;115;34;599;134;23;56;16;0;13;58;47;6;0;0;0;0;15;60;21;0;133;144;0;0;0;0;0;0;0;9;0;0;150;3;138;0;8;0;0;0;0;22;80;0;22;0;0;0;12;14;15;20;0;10;0;0;0;0;0;0;0;0;0;0;383;0;0;0;0;0;341;23;0;0;0;0;0;3;0;0;30;0;0;0;0;0;0;0;0;10;0;141;146;0;0;87;0;0;0;17;257;0;0;24;0;174;0;0;0;0;0;0;37;65;0;0;3;0;82;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;73;0;0;0;0;30;0;0;6;0;5;0;0;0;0;0;7;0;0;0;0;0;0;44;0;0;0;0;0;0;0;128;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;11;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303;6571;44;25;37;15;337;13;6497;25;0;3187;17;7026;651;189;0;8;372;0;2448;23;16;0;20;885;4;7;189;306;7;0;144;19;0;2188;16;8;0;0;5;4;0;0;330;7;0;226;322;0;0;0;3;44;0;132;0;0;0;3;3154;0;33;0;0;0;134;17;0;0;0;0;9;85;22;0;0;0;1159;829;91;0;19;0;0;0;495;3;0;0;0;0;0;0;0;35;0;4;0;0;0;1226;18;0;0;0;167;0;0;0;0;3;0;0;0;0;0;0;23;434;0;0;150;7;39;0;70;0;0;0;0;32;0;0;0;0;0;0;0;0;0;446;11;143;0;0;667;0;0;0;0;0;0;15;130;0;180;0;0;0;0;0;0;0;0;43;0;0;26;6;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;11;0;50;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
486;129;711;517;314;175;1075;313;567;447;134;2004;0;1602;882;155;1174;6035;276;0;178;1055;81;172;333;96;106;223;108;312;166;438;52;557;313;189;62;19;0;20;73;191;72;95;677;15;20;51;571;48;0;2;971;0;238;0;0;0;15;47;0;0;41;529;512;0;0;35;28;7;0;0;0;86;16;8;53;0;0;0;257;185;27;39;29;0;0;727;4;0;0;0;0;0;907;354;0;0;0;548;66;1937;0;0;0;61;16;424;63;0;0;150;0;22;0;8;11;0;0;91;0;9;15;21;0;0;36;0;0;0;42;0;15;16;0;0;0;0;0;0;0;0;31;39;0;0;0;0;0;0;0;12;0;0;0;0;0;8;10;17;0;0;157;52;0;0;0;0;0;63;114;0;32;0;0;0;82;0;10;0;0;0;36;0;14;0;0;0;0;0;7;0;0;37;0;0;0;0;3;16;0;0;0;47;0;0;66;0;0;0;0;19;0;0;0;0;10;10;0;0;0;0;0;0;0;0;20;0;0;0;66;17;0;0;22;65;0;0;0;0;13;0;0;0;39;0;0;0;26;0;0;0;3;2;0;0;0;0;5;0;0;0;0;0;23;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;13;0;0;13;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;16;0;0;14;0;0;0;0;0;13;0;0;11;0;0;0;0;0;3;0;5;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
3325;973;698;0;5116;23;3146;40;141;2482;0;1616;0;12;30;4;184;0;2356;0;0;328;27;346;1160;380;563;398;314;8;2181;70;0;0;0;0;1505;0;0;260;512;518;0;303;0;1387;0;43;1432;0;1125;66;0;0;0;0;223;0;21;0;0;0;0;0;118;0;98;392;168;0;171;0;464;145;0;7;0;0;253;92;168;0;13;114;0;0;0;0;83;11;0;0;0;0;0;0;0;0;54;0;0;0;0;47;0;394;0;0;88;0;0;275;0;69;0;169;462;0;0;61;14;0;0;0;0;54;0;0;48;0;166;0;7;0;0;0;0;0;0;0;0;13;4;0;0;0;0;54;0;0;0;77;0;0;0;33;0;0;18;0;0;23;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;14;20;0;0;0;0;0;0;0;92;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;5;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;69;0;42;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;27;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6344;1621;352;3198;1193;427;2498;994;2844;126;223;181;0;7254;369;58;774;0;885;782;798;486;496;124;155;550;970;51;230;191;310;597;0;147;1073;382;287;0;0;12;151;274;45;0;0;5;0;403;810;277;16;17;5;0;46;14;0;0;0;0;0;72;14;49;0;0;12;85;19;29;49;14;10;169;0;24;196;289;270;147;16;17;0;17;18;485;30;4;3;9;2;0;0;0;3;3;0;0;48;7;4;0;0;0;6;0;85;0;0;82;0;74;0;14;0;0;130;12;0;19;55;9;238;104;0;0;73;0;0;0;8;69;0;0;112;0;0;0;0;0;4;0;11;0;0;15;0;0;0;79;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;36;9;0;0;0;0;11;0;0;0;72;0;0;10;0;46;0;9;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
